Vegetation Cover,image ID
0.03582863,20_01
0.044836584,20_02
0.164377571,20_03
0.170947685,20_04
0.348235955,20_05
0.432307999,20_06
0.516165657,20_07
0.64614296,20_08
0.618396533,20_09
0.798571688,20_10
0.727465035,20_11
0.982136591,20_12
0.968363217,20_13
0.968650817,20_14
0.981391122,20_15
0.980733009,20_16
0.957568215,20_17
0.979794618,20_18
0.979842426,20_19
0.991382271,20_20
0.95778135,20_21
0.989558053,20_22
0.940247904,20_23
0.974241553,20_24
0.932231468,20_25
0.937763633,20_26
0.03018533,22_01
0.051765885,22_02
0.232350663,22_03
0.215546792,22_04
0.468914575,22_05
0.495166685,22_06
0.449253793,22_07
0.727125873,22_08
0.677134646,22_09
0.708303485,22_10
0.756464861,22_11
0.97442415,22_12
0.989930693,22_13
0.999667784,22_14
0.942126313,22_15
0.997093779,22_16
0.947223636,22_17
0.993557166,22_18
0.490746685,22_19
0.26053869,22_20
